"","p_cntrl5062","p_cntrl8512","p_cntrl5029","p_cncr7136","p_cntrl2642","p_cncr2935","p_cntrl1116","p_cncr5626","p_cntrl1317","p_cncr3717","p_cntrl2476","p_cncr5310","p_cncr8118","p_cncr3092","p_cncr2842","p_cntrl9875","p_cncr9894","p_cncr6814","p_cncr5676","p_cncr1313","p_cntrl8815","p_cncr4019","p_cncr4932","p_cncr8502","p_cncr9042","p_cncr8563","p_cntrl3243","p_cncr1633","p_cncr3976","p_cncr8561"
"10100110111011100101",34273,14745,32503,845,107921,76629,243640,11063,7056736,3009,5496,24488,20686,6173,11512,241939,356,5191,11316,591,314558,5444,3361795,7588,138123,640,8380,59395,146468,17420
"10100110101101011011",53999,490375,309667,859,4581,6535,81062,74490,72132,193796,116691,161150,18042,58276,1633,99237,6422627,1593,83540,508404,626329,986025,25099,1468209,300,36663,3737335,91945,581823,1655
"01111001111110000100",290859,4178,720,1926996,11250,32998,628,797309,161359,130909,86,38755,47456,118291,283350,40351,1130,3494,18889,4,18734,18,163513,39479,73318,103992,8920,208,759587,3745
"01011110011111110010",37195,103103,8971,103351,38966,7522,479386,73781,21303,3559,871213,2962,2742895,168664,35360,1417531,53,93427,3094,684911,32292,15033,132158,470,894002,16255,83878,14230,603354,7087971
"01100000101110111101",5815,620028,2389536,389427,694603,10125,169093,335359,433541,18042,199485,2462,1940839,2008216,425077,25338,121777,2486317,133511,4192313,48665,5490,111065,23031,8856,32002,2311,21581,1127532,8527
"11111010001101100100",147521,6902,23561,4537693,19573,794,34852,34974,171972,1753361,57414,85705,12333,2927,1233616,377429,3608119,8361659,68174,1147751,29123,9626,2070861,10865,112435,379427,542478,2066557,50747,208649
"00100001001110101011",64458,957399,241155,4323,54550,66839,1250490,291113,3107,659769,67166,690,1156,33567,64531,2979,3340367,38552,161,264679,8407,90119,97726,129,87866,25276,122839,18217,37907183,1091
"11010011001011000010",5514,793596,12660,341837,88642,690241,41286,107514,721,1545,33370,23867,540078,64,715588,42214,143711,52421,13262686,21112,14059,91330,37635,4369,7389,50407,1202073,4379,14152,715853
"00010010001110110001",4366,49753,40768,73664,490950,411649,3200147,1771,62830,133,20192,24108,379823,51223,71552,5206,6515,24144,19383,4003,26739,6772,3642,1750845,167192,22771,54441,739886,892926,939332
"10101001001111111101",577857,2575,5762,6813,17192,194763,29732,77656,337405,361700,30,1516,94658,42,27231,395,78766,7195,25095,151,17786,1524,544561,656948,24617,4292,345,199,1014397,17178
"01110010001101001011",551921,68090,74613,3382694,453311,135330,30942,406570,14667,576246,2105125,58338,5594,498,807499,68711,1188273,866101,352962,105510,31005,4867,5945,14326,940,7799,184927,458013,6392,7748
"10001111001111100111",10377,6911,33897,35419,150863,2620,205306,5864,838802,2211,5807,5057,150874,6451,479338,1107,1270022,16314052,1162,1340,2701667,22384,6580,37756,48426,2487,109168,7084284,60492,212895
"10010010011000101100",1288,810008,66187,10235,6183,2744073,1516568,81396,33795,5095628,3029637,6460474,356598,56015,272835,327463,6335239,908781,335403,420495,99079,25359,56541,1214,248405,181009,14078,9814,384,60501
"01110100001010111100",90986,44054,486246,63229,5487712,41938,77308,117746,21920,9184,22822,31697,36358,695138,363362,2312,653551,22484,20524,4505734,20809,30701,1485549,19871,88,438920,1169,6937,570,103778
"01110111100100010111",56559,9281,244,74565,53172,464294,24097715,6947,3788631,823,117481,393,3647,136225,119844,39295,25620293,223847,371644,22321,396372,16225,20725,10076,1525765,1215,356365,58256,3945,934662
"00000000001000001110",73352,245652,750684,6937,2575,5121,499200,31174,54587,1783,118555,5436,45741,314,9306729,3463,62640,7580,73875,3432946,6245993,386457,171938,282933,2435,21076,181741,220316,3318259,624358
"10101100000010100000",5887,3698,1457,84734,300103,26635,146,12850,972804,682983,121,365,9357,476,17795,23,16850,38318,59322,13771,2117,17,83156,1426614,264877,549,700,1068,23751,4955
"00011101100001010001",34657,1277,7533,418824,340,11748,15209,829,868963,1353,416,22,483028,33,8306,540,23771,43649,6762,15,124974,252,12124,1745909,903367,2438,1498,178,65750,8767
"10100110011011010010",756,302790,377170,12985,29083,155555,1012287,7746,4500,754,447520,174644,3721,442327,135,121836,2782573,264710,13183,16095,47197,49910,51429,142378,1197965,208466,39078,1249773,26929,31276
"01001001101100101101",154527,116,163,7323,5772,14187,1043886,752475,386313,239,278,15746,78185,1240,53868,7263,1286,101,16535,7556,1177,7228,26,3533,6917,12127,5457,20,937285,11464
"11001110110101001101",352012,2102,3334,1206621,16449,1274,13079,195977,1959128,138210,5652,3232,159439,388790,184107,37323,287244,47377,1771598,89423,1944,173333,74249,1084295,167630,333,197265,275262,6878457,67143
"00000100110001010011",3358,5486,34489,143,65100,9634,330693,742156,876885,442,323908,30372,244816,4343,21916,548,77938,1543956,76224,254,93450,137439,10567,42663,15506,13448,2430919,16320,302404,77301
"01001010110100111101",2984,257444,19509,9408,2079,38372,1038199,166,97302,1454619,2764,38135,12015,106396,830,76208,87102,241109,292232,241141,2114869,215730,22904159,84728,836223,3785,2298,134647,186916,238163
"10010111101000000111",42714,312381,9542,4378,960,31029,47460,4548,119339,1099,397569,796,1525,721,4662,90012,250035,1490,67462,8758,7363197,41002,8961,3375,3827805,488072,38762,177554,17242,29564
"10111010011000010001",3330417,11004,38694,65962,443655,138525,8169,27542,114688,1143,2169265,36953,104,24507,866532,15006,1676283,8305,56622,4969,517899,20688,1285,30465,7957481,880,1266982,53098,2356313,44743
"01101011000000110001",847322,39698,35098,271729,952,20953,313947,35666,177835,604,7200,91977,5116,26435,48205,191962,976308,830090,58042,13580,326602,472,502837,1002,3647,1467,45353,1970,8922,415
"10110100010111010111",7989232,4157,37661814,123699,609335,223074,92837,30674,113244,3333,1707426,8794,505,12,427654,163912,862739,922417,174673,2878,1927049,1196,76487,276,3087,43698,22262,614596,180289,165449
"00100000011100111010",109,1313947,8522,10099,1020928,180523,545522,1755573,203675,139007,433939,848389,20036,427592,2193,9382,119087,782667,73162,15496,69160,102382,110946,21906,12609,2953678,18565,87193,2940484,3381
"00110101010010011000",1108,121506,19090,99543,493676,5017,168,4575,18017,11270,54291,201033,873,416293,137950,162791,4487,1145636,160010,97715,26588,231585,95745,55502,231,75047,60403,69146,181,206997
"10001111110100010110",342673,103107,6991,8947,106959,2060,8468,7145,226028,208074,70213,2032592,152881,45643,154015,136322,703411,4872,21087,664,5050,56887,533,568484,52280,8873106,6207,25292,525393,62785
"01011110000110111010",71607,127788,391138,1185,10234,155616,6485,244066,12191,8263,260388,40552,54045,8020,169988,281338,19716,1909,47248,29604,16272,170,678208,93588,85512,162456,148761,16292,4974,104149
"01111001011001010101",66451,13101,12,88951,20845,1454212,22344,234,380022,1713,173,244,29912,2077,8691,13215,47948,2338795,44263,598,2152,2483,6841,6957,1520302,23311,10248,402,5162967,2950
"01000110001000001100",31098,7021287,47264,74023,4897817,4005,5666,863208,187815,216237,3273,22518,184180,35160,1706922,100454,6738330,73665,328362,200401,250814,58872,85559,214742,147794,916416,1046,12483,1104652,207357
"00111001111101001110",966,490,400,120768,22100,329051,40808,391523,78759,28612,1342,6742,774498,90464,3268,22093,5522,16945,1583,24,54607,17935,346574,69898,24026,141215,3228,165,103594,203450
"11001111011101101001",1730167,401964,2599558,44354,7675,6457,69075,208076,10712,167135,111598,20379,60404,33950,208,2047862,222588,1879316,2357,6816269,3462,28913,984478,1882,1826984,135893,26605,1360,699811,34564434
"11110100101011111000",6272,19583,94279,130689,69696,8209,706214,192130,3483,780656,258,1189,1242,568126,32971,19224,19434,328820,7309,80583,28961,130607,1276241,52139,29452,15441,90671,17196,1122,8613
"10101101110011100111",22275,13865,455,283742,174,6187,9799,3137,53336,899,1507,184,687408,22050,3579,5355,1171756,1439,11149,264,1909,557,14557,14990,740144,1634,29079,136,2259646,27924
"11110010010101011100",4021,298412,109156,40672109,299574,202923,363352,79749,28026,82449,17886,50810,83513,63344,151490,70237,3584,1099920,141590,1394636,328052,24285,5773218,2023146,112945,428735,25091,19436,205370,139086
"01100110101110011110",174742,143733,3471769,25590,128634,1480405,297585,3474,411344,188739,120474,7643,133834,21858,27090,285638,1665,2700,1811283,168159,1966,45402,1780868,22893,31692,106101,3351449,428769,1671407,30
"00000101101111101010",1009139,2668590,126689,6817,2142,2357375,996585,87602,897476,944572,70812,64312,12012,295394,22465,209706,72128,152442,37016,513,2603,25400,37653,792959,26702,1570181,223738,1452959,100018,6653
"11000101100111000100",8544,117187,34661,1227,4461557,185225,996712,18889,60825,1149603,8630,12479,330447,225510,60991,140754,33196,1531040,360632,5384,76940,132774,338026,87993,105277,177401,4152,1119245,39968,191945
"00101010000110011110",415160,1529187,562,32206,35267,567409,8823,3562638,1041473,21117,26191,99703,176322,5710,15071,676812,6623,39056,54975,1127767,9745,2027984,16658,29046,581158,704338,213139,63968,48422,15208
"00100110010011100011",3183827,1703,80754,2483,79926,34858,719462,72177,209410,129675,629082,70,38340,71703,69289,89,23967,14733,6456,4,760083,1588,43206,3661979,117703,958,1093553,216961,503278,1962
"10101111010110000111",39131,2290,43850,82765,1479299,646167,109292,39040,142957,21650,84501,12676,323928,80207,37742,12492,29172,1223422,30527,276465,71762,195333,5097,9834,20,9815,21125,102782,657,21769
"11101110110011010110",23889,1121867,86199,512317,3068,2499,55794,756,9047847,7278,22720,858659,19452685,11024,64498,505,164058,3035588,192414,2446674,55982,35663,3422,21577,281374,6014418,1081517,200,55064,110
"00111001111001001010",7393,45968,6925,7605,8139,15893,705001,59998,137201,115,16951,2712,4137692,46421,57220,41083,158060,229867,7979,161,39856,442,7028,272173,126668,1234704,71,12270,32463,121
"10100000000001101001",1248,199217,5251495,19828,1849,3273,240776,1908650,621886,26935,642883,13828,3528736,44812,3105037,2891,8976756,112685,1096052,779,224419,1929752,41104,1524267,99820,34147,2235864,102713,223451,11734
"10111110101111100000",609695,535712,311955,4585,429575,34727,1567883,42537,10082,649144,28474,171365,890127,973305,71297,1340819,905,7202,29768,85871,143578,50509,114044,138869,209225,24689,66436,49343,153862,32040
"00110111001010111011",10819,4217,2986419,24070,134892,9804,187,2327,709,39100,4679,70304,447861,492265,23472,3838,108,1045250,1466446,505287,1559972,6958244,488190,1498658,160877,912149,137310,71113,146208,24333
"01001001000101101011",7477,1997,32894,6772,17984,691,143431,4851,139483,1154529,341,47634,1956820,198173,50681,84213,1189299,80469,1100,2201,1953,554,228308,179563,6650,60757,18054,14555,1758460,1004903
"00010001110110110011",939246,691959,183741,581389,16833,470140,24364,602,1017430,927,8816,9343,2465,483,236869,6302,30915,460121,7019005,176,48224,456864,179,392866,169747,6,1780874,640,27633,28010
"00111111000110011100",746317,2975251,92237,154943,73773,649,24975,1803961,5033,1359430,1697,1440,15074,7194039,299810,3195,5031,1636,4570963,827459,323366,2698,383486,4729,1758,353952,40206,3540721,132148,429475
"11000011000100101101",10489,31712,7649,41139,59539,213841,19898,2346993,61209,2692,217,766701,3111631,24418,109564,75553,14078,12907683,27263,38619,950273,1306,4470954,44559,280262,5655,144924,28991,1959521,2188
"11101000101001111000",239669,1462,2660,92642,334539,445920,4227,1154193,6471857,154537,1351,1963,411485,15054,12404,11842,22858,3499,1290674,534,714,43492,20201,70273,20275,84378,14519,125,4104307,70961
"10000101111010001011",26352,363128,1034721,5616512,2262,3793737,166886,165934,1826,19460,853282,7175,16907,608654,38629,2908419,168433,45810,833221,125050,3449,439,113749,5482,7279,73,6156,99313,380436,213358
"00111111010111010111",1352,1937,24210,116889,1738,1149833,171547,4603,1414836,20981,18137,17153,6717,20883,87324,1130,15218,3256935,308331,19880,20949,220,4141,312,84902,28598,36753,85083,5969293,36937
"10101110111011011000",1461598,90773,59276,723,2558,204442,525184,67818,243765,93940,3078,296,324953,542678,1828224,25755,21872,853,2833156,26550,1810,483989,347385,130060,29672,1623425,1577264,142507,1131636,200591
"11010100111011110100",147936,1048000,106419,1616,62054,1100,201897,24865,226654,3993169,82711,34910,252857,6633,352632,22341,1243013,93163,485085,2066675,3708,91,63204,100078,123386,3078152,7099,8939,283115,3019
"01000110000101010011",1851,17754,607002,94277,131858,35,23559,19101,1005147,13995,39084,26482,171,274503,22865,450059,86458,3544126,686840,801,260799,31731,87,1489,453474,647,13334,13671,84592,1058
"00001100110101001000",2838,9594,6330,16714,98142,676189,11124,20588,26448,633107,211,21461,145239,454693,416143,1525,101746,141687,9484,3779,9073,66,23035,41682,164452,230361,7643,76,55076899,7275
"10001101000100010011",58,1866,269,8498,15734,10106,1587715,207061,2870535,1834,6303,455,5102,3583,8359,3994,14599,17848,2006,567,110981,467,4595,386793,48946,56,816,180,1120594,225
"10000010110100011101",227175,93722,317209,17555417,255758,47826,14725,14795,306939,1563144,2168,165872,3116,6925076,937800,60278,11605,17085,8216,622914,19109,231658,2403850,15202,56783,11933,462686,59727,548494,15236
"00001101100100100101",51181,68336,3868,277961,24123,3796280,161606,2355,160960,696,28432,63,188316,30369,602199,622,68549,6661,472449,2586,20999,1091,1949,10134,101754,71874,20596,43,7910703,3630
"00110111010010011000",1727,66005,74699,7946,466617,13307,220135,482,53893,392163,815,522251,38491,1829951,3624723,649422,628577,8894,86,21863,122227,7077,1418048,228016,1352,17724,17131623,756546,2704371,6513
"10101011101000011001",375703,632991,95823,59728,85610,164145,197350,75081,34375,5103,26281,124312,24316,500362,320,8274,5891,246626,35230,1537,1754,330796,4914947,457411,151351,120746,1641,197539,47706,205155
"10000100011111110001",6077,4296,1011,332979,101415,13622,221761,102878,1145780,890,105899,15019,1519560,161245,1203,1936,6111,82059,177080,1849,244963,3002,273531,15741,315031,415,338690,333265,775636,15276
"00010101001100001101",42285,11194,41240,8779,67603,179181,24696,253456,781737,923,32402,10929642,714921,449,9909,3154830,23996,155865,629647,7291,574443,41283,122038,1693,691514,2051594,807413,236867,67004,2554081
"01101101011010110011",12531,12798,410,3148,11050,20825,83187,43876,898116,16901,2524,1941,72977,585,157616,405,13008,11676,4019,513,5479,79,253,9332,28065,23,49,48,84658,858842
"01011010101100101101",15296,1280089,12907,42540,13209,27286,4632,234781,506453,1201,279694280,630765,39554,768715,2624,348696,1548102,18365,585008,1795117,245761,85537,17771,820,825,242315,17851,233597,70930,456
"10011011110110000111",10230,5296,36722,121901,248323,6509,1399468,6263942,10420,49060,51476,6446,71582,44012,11633,10921,11857,9513,1221,27367,566256,1672,4818,35903,98778,10504,418,68491,83086,12717
"10100011110010100101",49893,536274,119001,89364,5004,8778,10247,456276,14457668,99,159190,683,48225,15356,18425,311659,13,23451,8785,5326,6510,2226,2209,2690,9980,200732,10942,1209217,5556,9878
"10100100000110110111",174457,1695,185671,22,10349,14593,253606,173284,10037,1103,1318216,3707,11622,255427,2492984,46819,534,10017,33916,2534,1833802,73,2531,2487,110325,21787,830,34074,1422141,682
"10110000010001100111",74620,6442,53951,45890,631397,145893,24590,133609,370979,4385,269552,1448,25735,8,110820,549510,1004371,325773,24668,14759,537934,6105,3466,7438,34293,244,13903,17313,9151,586032
"00101001001111101001",2217959,15895,1991,1176210,12516,1256,1432684,200254,1329240,8006,1430,976,146672,179,307167,1190,1656,106791,925,7548,1428,963,3572,157422,16982,181730,24928,2213,1039029,1045160
"00100111111101111011",79,2795,2101,335157,53013,18889,185788,237202,467792,271485,44842,10932,228508,5070,129100,9120,858,60140,28254,334863,822591,48730,8227,29794,52427,1017,3276662,27288,117857,847
"00011101010011001010",1986,496885,43392,1615,695523,169298,15435,39818,185440,459173,422535,82683,194481,81497,754350,2401,66246,18275,140479,325,380,231,488318,31084,141965,144648,24796,210,173,4955
"10111111001110010100",12294,597061,53178,1583330,2129,92999,18633,2735,95152,254112,14102,1270,636604,2743,131207,2004229,89693,61739,35792,1499,2214363,21592,475,212364,24974,50,30292,140918,97282,268418
"00101010011001001001",334897,4397975,136,36582,11370,3020,393139,38313,1184657,2910540,87,155813,13722,130803,20576,268494,320363,46319,3012,381675,290,154632,4528972,598186,104928,66529,152362,603673,15111,39147
"10101011001110111000",100932,271,2741241,5940,4197,11655,48254,4196,45135,1281856,337125,365070,2484,84196,82760,8258,2145,649321,956,122869,11097,9774,32888,422499,711116,13605,1341,330130,105858,11095
"11111111110111110100",8263,88284,181165,9562,341559,103290,13015,281116,3965929,888985,232169,1508384,3114344,1148954,1958,8283,4317,1513716,7406,930886,24912,176,610020,30502,153533,74883,3187,56773,150252,44142057
"10101000111010001010",34648,25335,8775,842179,231329,3856938,126404,16769,73300,1164,4017,2716,1514,1728,2322291,25162,1057,32849,118,1409,61165,3533,1165,888029,407928,1820,562,48007,456517,7916
"11001101111001111010",2795,3225,2332,46029,12350,6793,72724,81161,25415,1082,1523,6927,173902,9870,17466,474,6563,34669,31123,8,736,8157,793,16919,58783,2037,874,301,10847088,1643
"10011001101101011110",7721,17264,92,62,9825,7612147,28775,664,91987,132280,8427,2178,1092221,1596,759,20052,6725,20691,3903710,970,697,16157,67012,1217,1496,8828769,4161,59,2694699,75
"00000100111111001011",129605,44657,3788,340989,863531,382716,16958,24581,177868,71936,1088228,1756,7733,1490911,8348,20274,5252,1301,6550,2633662,1149801,9025,3526942,347499,1570,15561,201442,142005,1406644,11487959
"11111100101111000111",469354,1072,2048,40615,3342,156087,1400343,241044,54936,1616,219,298,88019,28001,2163,89,5814,171684,12819,3819,535997,122,6133,5438,30042,4836,671,345,6105,1198
"11000100000010110010",1558879,12799,46567,258,14726669,2902,5077,4799,8259,76819,4068186,167262,980,3545,64333,593852,5498,22397230,1675,14762,64217,70613,17547018,57648,833,131407,57430,2003884,31058,278570
"10001101110110111101",6599240,24168,930,119886,11764,291404,19678,21984,11564193,4537,4750,3581,60324,8595,237552,242,200263,9835,6135,226,1032842,1549,328032,34394,165090,706,517,2717,1215362,19857
"01011001100000011101",2403,14794,346,83494,23285,21040,48,130133,234141,7474,7086,7220,205182,759,9223,16314,80694,7999,54876,5973,9612,6021,30549,70948,3442000,7653,7918,20103,95301,191546
"00000111001010100101",10880,128108,56642,1332,1557221,30835,226125,56857,34759,33420,6479,465,272498,24888,1983,618,66715,427197,4459,4380,8911930,561,3941,137585,6655,68065,108402,570628,224593,19597
"00110011000011011011",13837,663535,612299,28236,62688,17821,500021,9037,135905,5649,372405,30943,26001,14550,408582,38724,723,19694,32393,7006,36433,5507,5927,12169,380,174700,1991,114754,14210,36282
"01000011010001001111",63736,3060,1650591,205526,18536,673091,155,1485,6692,18814,1060,49361,8051,63263,128794,81156,2385,15863,11167,6071,805222,9379,2368810,1125,105428,96510,8219,62,1203,11957
"10010100100111100100",3264,17553,73675,9414,43902,24492,5716,868319,879863,15220,178780,64333,44561,26234,171724,4883,152198,16434,9791,36764,4752,34878,134724,7730,58083,27450799,311871,345272,12260,2244123
"01001101110111000101",12876,1523,2708,1461528,228,93640,10460,349,246644,7505,1574,1461,610500,41594,2752,21430,7330,173956,223,7,79980,217,576,112108,8754,68090,1795,192,20009154,1592
"10011100111101110100",642,465,15,2444,4862,1828,212791,97164,1128715,23324,1,8152,18548,2232,3755,6801,81681,291,43594,222,205165,4255,8279,17101,372601,426770,21934,640,410365,66420
"11100010101011011010",642004,215997,32090,107620,4487,5575,116805,445,7793,31533,43341,76074,179347,11341,5359,3770,991,18619,557,204640,608666,181998,70807,264996,12496,30493,362398,1174,54387,1983
"00100010001000100110",75702,3671695,810703,21826612,281010,1485977,1976148,1510911,1083116,377310,475370,528,4926,249311,926500,1339294,31787,102594,36763,45684,509937,3295145,7608,93189,432972,5967,119948,123666,14928,3837
"10011101111100110000",14923,31334,12291,1381382,10928,37102,10201,4209,44640,772,785,141070,61048,66785,203493,2101,1350426,6991,13227,658,23776,28046,9507,326645,28813,117184,17721,2910,6855,387
"11110100010000000011",167271,24596,1846,5348,1644606,149,1702,28389,189760,1647,14206763,62,503,20350,6219723,14312,16690,49759,246,2384,61375,173,19971,9588,389010,2947,3613183,8619,429580,126921
"01010110011000100011",54395,622508,249360,309056,29386,169690,4821,70534,40675,169,26828,65848,8199,9223,58152,1447,2547,1756,55391,53331,83286,799,5038,6475,2273,575,205175,27610,420559,22482
"01111110111110000101",5788,44746,2784281,311578,18653,1753,2871126,13626,89552,287,178301,289,369273,108696,88196,748,2474,177064,1232916,5789,28127,47,22968,37506,3222,10845,21205,124207,3146693,1531717
"00011100001010011011",1108,3615,2236,2176725,2213721,818506,1804378,5788,221478,1696,2815,5093,342173,20428,702649,74811,1147,30,17743,4487,1227,428576,3687,630348,27378,2535,24,374,2353492,11705
"01100000100110100111",19496,53047,543526,453,9625,4175,10065,54587,47146,90483,65144,7055,1569910,20752,4316,94200,1927,34104,190425,2733,2468,27433,16220,1381,16596,11892,895620,89496,449943,512601
"00011110010100100101",17505,179,53548,641480,35825,64816,6644850,154093,1990269,115584,92807,2817,160749,3112,116410,258679,61498,2723579,1146530,44582,19939,289,18954,214041,755,118,453552,132007,53852,2015
"01110100000001101101",13428,1166987,32906,5667039,345842,3454651,10828,182222,558315,238,7978,13067,595894,3093,746299,34850,817654,923,7147,223853,12733,1529,21856752,241332,1829,68767,154016,345442,120016,77041
"01100010100001011100",2728,2651,15591,170364,1158,64478,404238,113,326871,11149,619,3090338,16756,999613,3543373,3517,40000,5788,81438,272477,175886,3918718,56122,5418,262128,798,1384,2069,470852,127187
"01100110010001001001",526173,425362,24033,230270,682,2828463,339483,984439,90153,26576,68114,18648,463888,2124535,2562,500100,833,4504,55674,367572,109240,26799,2122134,51491,2072925,621606,151,18557,2636634,10374
"10110111100110110011",14712,24550,56431,67502,103427,498,11273,10654,12260305,10470,239061,126603,8265,12939,10971357,8329,18942,122919,36916,11238,10948,2956,22292,7238,215405,5311,1837,6369,1620641,43091
"11010111010001111000",316397,560,10293,7037305,311557,164888,6194301,4106,150176,220089,1025454,1177,52414,1967,7136,8229,38883,27966,2436,319655,4338,39192,2544274,472708,306801,11002,46601,100496,9548,317450
"11100011011011000101",107658,398,10283,3689,35152,8880,391618,100821,6690,13308,767972,3216,22820,424,186090,330882,236006,21134,6015,172836,4812,381,13271,255588,3423327,483,15656240,275799,10047,141
"11111111011000101001",1362058,4815,7501,20298,6686,255148,126185,21271,70255,121477,31061,1997,236788,75706,639855,10172,630935,381824,22609,355993,601,33997,53649,672311,2923,8322,233638,53164,839192,223500
"11000111111010011010",14140,214946,4344989,37552,66904,100455,7632,43871,5307,137163,1425516,3854148,21069,305801,4665764,8609,6209,120650,1849524,1197587,6225,177171,5791,11295,84256,68829,9219,44462,285509,31645
"01111000101011111110",196826,341,462,4775914,51553,81881,5433,66480,535010,1228,1800,56559,246144,221712,4767,5515,690,987,700313,42,2969,304,11258,56399,713810,70190,146882,18,27009,4841
"01000010001001001011",13776,17925146,6696,2127,321,10538,147421,18721,56590,273105,564521,14424,12042,463148,144430,6157,19270,1642728,10183310,20832,70,25769,4088,30216,44003,3434,12909,11968,374963,11660
"00010110111100110101",3447,5411,7804175,7093634,19868,2050865,16592464,217,19992,599,354687,7311,3318392,7652,117871,29700,113,19899982,82835,937,32685,462,28589,537101,832519,2709,351826,166681,384406,9521
"00100001011010101101",2055058,66509,883807,834401,779333,720783,32,7576,5894,37228,1119,5058996,490,85802,9277,15742,1151,60471,10778,961771,343,121352,42778,12141,139548,300315,116444,753978,41270,203555
"11001110110001100101",554737,12,146631,33172,21784,21618,21533,1165704,2527967,13955,85549,17683,100245,16918,184056,2634,32882,61811,1114,19561,12114,5561,38776,3173,89560,265785,692391,409,68366,50495
"10111110101011101110",35144,15385,2745637,6862,415057,2054086,16033,240683,17866,1748589,217181,1059403,50641,10479,11228,53717,2359,159890,9655,11421,14155,175886,557,10849,11387,1236,7158,4870,2775847,722355
"00001010010000111011",346381,435665,4375,323255,3015,537691,15696555,42781,147564,1421188,457482,9150887,893,3273,14299,1506,33129,13814,98329,5222,3038,102356,82499,84986,35984,1397,83563,4301,18673,1967
"01101010001001100011",667623,149666,11275,21548,88642,19873,1129535,3525,5592429,2244,74240,10783,8531697,77428,1391748,124,2950,6947,126,2443,31668,187734,7288,1115,686,3441,1304,756,414,51895
"00011011011111111100",120706,48889,95384,14163,15763,1611,424511,2259,12780,55,66090,479073,241771,234678,933023,341726,144188,259882,3749,29535,10197546,106652,41378,700047,5514,11352,75593,2017929,318180,182805
"01101011100111110100",90,114703,1283714,92580,140463,14821,16616087,1019,10639,11412,93680,4880,1806075,49925,13498,5630398,1566,178062,136859,5459,76923,31043345,28935,326680,5239,37497,3873,47,5930,121000
"10100010101000010011",288865,55591393,20758,44605,27477,2216,4508042,527,5325993,4835,58006,147,2473568,22330,1548,3431,1999,24694,68096,64273,18377,29,3592,67008,13739,1161,18539,7648,1543,13161
"11101001100011000110",264,3718,25,132370,1181,34912,3874170,8515,99394,6314,117002,1146,310098,105435,1566,1089,466937,9233,247502,569,459,5912,3419,3666,1145,14218,154,83,142294,127110
"00110000101110000100",784280,3593,18277,14,14059,1646534,2030,36080,65721,3745,4480,164223,88457,104441,316925,4171,27662,75400,169203,5205,628828,161239,3919,1040,14089,75335,12860,39297,15068,1771
"01010110101110110001",1037551,39966,24487,192675,1680,4521,14946,1900,3148209,3734,924189,57,173091,7646,169763,128672,2515,42893,18244,35586,1392,281,214549,944,13234,2499,43239,60720,1329019,3071
"00010011001110011110",11459,3305005,3946,827,15941,4014260,10120815,52957,86,287178,21543,1926249,27779,1645833,3001766,156536,64943,33986,157972,54843,24053,15892,28389438,330948,609508,12797,19578,3390404,65633,272666
"11100111010001011011",9796,87246,1896477,8678,5095,113026,28821,25406688,14035,320768,184,71039,2121022,296160,308207,42346,489,7691,57217,155155,636,35413,73316,2207,97543,7533,7550,864032,630584,29175
"01101011011111111111",127460,576567,63904,659014,68299,20451,7097,223645,88877,336493,165289,80045,472186,111989,4575262,7639,264541,147913,62988,6098925,24811,2429,277,402515,262354,56990,421867,54445,269481,366530
"00001000111111100001",62963,3778,4053,191740,62662,803397,362971,322,17558,7047,2804,7131,26345,86434,6406,42,7315,7849,227869,222,120817,459,1682,4649,2604,429,2217,2867,210308,1895
"00101110101101100100",242845,270687,594889,158814,2028,91568,13416,3514,129547,90072,19343,36245,1509,9681352,21782,2028659,853,56217,54186,49222,104175,54418,11212,98510,261544,94082,7003,3304784,235666,76643
"10010101110111100100",113380,200915,10946,9164,83443,7861,31779,458775,409450,1107,326252,380248,277,8217,309281,1211,2016,78179474,73149,166,4167,992346,8201,2450,113795,43396,27297,54065,252268,184323
"01100010100111011101",3998,71416,322082,21904,1787519,25816,19889,291382,237367,5780,871227,14709,5523,39253,741408,328538,14942,28789,32715,63804,158528,9602683,1263,537584,19004,661064,4217,4670508,555352,88070
"10010001010011110011",18809,178205,95154,1012,76,283765,47646,19822,384806,3506,2745,3351,3473,123189,4613,56649,3789,10054390,914,7496,158603,665,63537,101528,263415,9112,888,187335,88740267,18186
"11001101010111011001",7338,12230,2,618161,3880,25272,5955086,15942,515739,343282,246,12780,233567,5965,2262,8988,226935,1385,68710,590,8157,260130,96377,34764,2327,238,1903,2797,9485,490478
"11001110010001100111",66219,3168930,23852,4909509,537485,76569,113179,174,4887,10283,417264,1066,973,1615,50300,30762,4612,1934,30140,14887,493530,14465,39249,245912,10294,170,336419,28821,6487872,15796
"11101010001111010001",23401,6256,1976828,2730923,37243,4061,474436,445,190922,54193,12991,525228,6637,11893,82391,14488,20800,193259,123943,26867,58876,21187,139772,6838,129464,7722,82318,10475,9061954,24300
"00010111111001100110",4,36725,4622657,1602,27059,549,756093,255616,457554,713797,9036,46282,11999,477866,27989,2008528,2956,1364,821405,9847124,18244,90793,23819,5245,54919,162138,60595,392630,561247,168456
"10011110010011111110",10283,831998,5637,511063,1000339,141658,41983,4268,3485613,36380,1366,1466,1093,133378,116446,278982,478,2639,7538,10324,96471,280,772949,720257,1395465,869707,38150,225317,38430,229619
